perfil_reflejada_31
n,x,y,luma
0,0.716,1.451,116.4
1,0.709,1.451,116.8
2,0.702,1.451,117.0
3,0.695,1.451,117.0
4,0.689,1.451,117.0
5,0.682,1.451,117.0
6,0.675,1.451,116.6
7,0.669,1.451,116.0
8,0.662,1.451,116.6
9,0.655,1.451,118.4
10,0.648,1.451,119.0
11,0.642,1.451,119.2
12,0.635,1.451,119.2
13,0.628,1.451,119.2
14,0.622,1.451,119.0
15,0.615,1.451,118.9
16,0.608,1.451,118.9
17,0.601,1.451,118.9
18,0.595,1.451,119.6
19,0.588,1.451,120.8
20,0.581,1.451,120.9
21,0.575,1.451,121.0
22,0.568,1.451,121.9
23,0.561,1.451,122.1
24,0.554,1.451,122.1
25,0.548,1.451,122.8
26,0.541,1.451,122.8
27,0.534,1.451,123.4
28,0.528,1.451,123.6
29,0.521,1.451,123.9
30,0.514,1.451,124.5
31,0.507,1.451,124.8
32,0.501,1.451,124.8
33,0.494,1.451,124.9
34,0.487,1.451,125.1
35,0.481,1.451,126.0
36,0.474,1.451,127.0
37,0.467,1.451,126.9
38,0.460,1.451,128.0
39,0.454,1.451,130.5
40,0.447,1.451,133.3
41,0.440,1.451,134.7
42,0.434,1.451,135.6
43,0.427,1.451,136.5
44,0.420,1.451,137.5
45,0.414,1.451,139.0
46,0.407,1.451,140.1
47,0.400,1.451,143.5
48,0.393,1.451,146.4
49,0.387,1.451,147.0
50,0.380,1.451,147.9
51,0.373,1.451,148.1
52,0.367,1.451,147.3
53,0.360,1.451,147.1
54,0.353,1.451,147.5
55,0.346,1.451,148.9
56,0.340,1.451,150.6
57,0.333,1.451,153.1
58,0.326,1.451,152.2
59,0.320,1.451,152.1
60,0.313,1.451,153.3
61,0.306,1.451,156.0
62,0.299,1.451,158.3
63,0.293,1.451,159.2
64,0.286,1.451,157.9
65,0.279,1.451,157.0
66,0.273,1.451,157.4
67,0.266,1.451,158.8
68,0.259,1.451,159.2
69,0.252,1.451,160.4
70,0.246,1.451,162.2
71,0.239,1.451,164.2
72,0.232,1.451,165.6
73,0.226,1.451,166.3
74,0.219,1.451,165.9
75,0.212,1.451,164.5
76,0.205,1.451,166.4
77,0.199,1.451,169.2
