perfil_incidente_11
n,x,y,luma
0,0.475,1.067,108.1
1,0.467,1.067,109.2
2,0.458,1.067,109.3
3,0.450,1.067,108.9
4,0.442,1.067,108.8
5,0.434,1.067,109.0
6,0.426,1.067,110.0
7,0.417,1.067,110.6
8,0.409,1.067,110.7
9,0.401,1.067,111.3
10,0.393,1.067,112.0
11,0.385,1.067,112.4
12,0.376,1.067,113.3
13,0.368,1.067,113.1
14,0.360,1.067,112.9
15,0.352,1.067,113.9
16,0.344,1.067,114.5
17,0.336,1.067,114.9
18,0.327,1.067,115.3
19,0.319,1.067,115.7
20,0.311,1.067,117.5
21,0.303,1.067,117.6
22,0.295,1.067,118.1
23,0.286,1.067,118.8
24,0.278,1.067,118.7
25,0.270,1.067,119.1
26,0.262,1.067,119.6
27,0.254,1.067,119.7
28,0.245,1.067,120.4
29,0.237,1.067,121.0
30,0.229,1.067,120.9
31,0.221,1.067,121.3
32,0.213,1.067,122.2
33,0.204,1.067,123.0
34,0.196,1.067,123.2
35,0.188,1.067,123.1
36,0.180,1.067,123.9
37,0.172,1.067,126.6
38,0.163,1.067,127.6
39,0.155,1.067,129.0
40,0.147,1.067,131.9
41,0.139,1.067,134.7
42,0.131,1.067,138.2
43,0.122,1.067,141.6
44,0.114,1.067,143.6
45,0.106,1.067,149.0
46,9.781E-2,1.067,154.2
47,8.961E-2,1.067,156.9
48,8.142E-2,1.067,166.3
49,7.322E-2,1.067,173.3
50,6.503E-2,1.067,176.8
51,5.683E-2,1.067,180.0
52,4.863E-2,1.067,174.6
53,4.044E-2,1.067,171.3
54,3.224E-2,1.067,174.3
55,2.404E-2,1.067,178.9
56,1.585E-2,1.067,185.3
57,7.649E-3,1.067,191.7
58,-5.471E-4,1.067,200.5
59,-8.744E-3,1.067,207.5
60,-1.694E-2,1.067,210.9
61,-2.514E-2,1.067,205.7
62,-3.333E-2,1.067,204.3
63,-4.153E-2,1.067,209.4
64,-4.973E-2,1.067,206.4
65,-5.792E-2,1.067,191.9
66,-6.612E-2,1.067,168.7
67,-7.432E-2,1.067,151.4
68,-8.251E-2,1.067,143.1
69,-9.071E-2,1.067,142.8
70,-9.891E-2,1.067,141.7
71,-0.107,1.067,137.1
72,-0.115,1.067,130.5
73,-0.123,1.067,126.8
74,-0.132,1.067,125.9
75,-0.140,1.067,123.4
76,-0.148,1.067,120.2
77,-0.156,1.067,117.6
78,-0.164,1.067,118.3
79,-0.173,1.067,114.9
80,-0.181,1.067,114.5
81,-0.189,1.067,114.0
82,-0.197,1.067,113.0
83,-0.205,1.067,111.8
84,-0.214,1.067,111.8
85,-0.222,1.067,111.5
86,-0.230,1.067,111.5
87,-0.238,1.067,110.1
88,-0.246,1.067,109.8
89,-0.255,1.067,109.8
90,-0.263,1.067,109.8
91,-0.271,1.067,109.8
92,-0.279,1.067,109.8
93,-0.287,1.067,109.8
94,-0.296,1.067,109.8
95,-0.304,1.067,109.5
96,-0.312,1.067,108.8
97,-0.320,1.067,108.8
98,-0.328,1.067,108.8
99,-0.337,1.067,108.8
100,-0.345,1.067,108.8
101,-0.353,1.067,108.8
102,-0.361,1.067,108.8
103,-0.369,1.067,108.7
104,-0.378,1.067,108.8
105,-0.386,1.067,108.2
106,-0.394,1.067,107.1
107,-0.402,1.067,106.0
108,-0.410,1.067,105.3
109,-0.419,1.067,105.0
110,-0.427,1.067,103.6
111,-0.435,1.067,102.4
112,-0.443,1.067,101.8
113,-0.451,1.067,100.0
114,-0.460,1.067,99.7
