perfil_reflejado_61
n,x,y,luma
0,0.316,-0.786,134.5
1,0.307,-0.786,134.9
2,0.297,-0.786,135.9
3,0.287,-0.786,136.4
4,0.278,-0.786,136.9
5,0.268,-0.786,136.9
6,0.258,-0.786,136.9
7,0.249,-0.786,136.9
8,0.239,-0.786,136.9
9,0.229,-0.786,136.9
10,0.219,-0.786,136.9
11,0.210,-0.786,136.9
12,0.200,-0.786,137.3
13,0.190,-0.786,138.0
14,0.181,-0.786,140.6
15,0.171,-0.786,140.3
16,0.161,-0.786,140.3
17,0.151,-0.786,142.7
18,0.142,-0.786,145.4
19,0.132,-0.786,148.4
20,0.122,-0.786,151.6
21,0.113,-0.786,153.5
22,0.103,-0.786,156.5
23,9.326E-2,-0.786,159.7
24,8.355E-2,-0.786,160.6
25,7.385E-2,-0.786,161.2
26,6.414E-2,-0.786,163.1
27,5.444E-2,-0.786,165.1
28,4.474E-2,-0.786,164.9
29,3.503E-2,-0.786,164.9
30,2.533E-2,-0.786,165.4
31,1.562E-2,-0.786,165.5
32,5.917E-3,-0.786,164.4
33,-3.787E-3,-0.786,165.6
34,-1.349E-2,-0.786,166.5
35,-2.320E-2,-0.786,167.1
36,-3.290E-2,-0.786,166.1
37,-4.261E-2,-0.786,163.8
38,-5.231E-2,-0.786,159.4
39,-6.202E-2,-0.786,154.7
40,-7.172E-2,-0.786,154.2
41,-8.142E-2,-0.786,154.3
42,-9.113E-2,-0.786,154.8
43,-0.101,-0.786,155.8
44,-0.111,-0.786,155.4
45,-0.120,-0.786,152.9
46,-0.130,-0.786,151.1
47,-0.140,-0.786,149.6
48,-0.149,-0.786,147.5
49,-0.159,-0.786,143.8
50,-0.169,-0.786,143.9
51,-0.178,-0.786,142.4
52,-0.188,-0.786,141.0
53,-0.198,-0.786,140.1
54,-0.208,-0.786,138.4
55,-0.217,-0.786,137.2
56,-0.227,-0.786,136.9
57,-0.237,-0.786,136.7
58,-0.246,-0.786,135.0
59,-0.256,-0.786,134.3
60,-0.266,-0.786,133.7
61,-0.276,-0.786,132.8
62,-0.285,-0.786,132.2
63,-0.295,-0.786,131.1
64,-0.305,-0.786,130.0
